TransactionID,Customer_ID,Date,DayOfWeek,Month,Category,Product,Quantity,Price,CustomerType
00157,C0171,2024-06-13,Thursday,June,Fruit & Vegetables,Potato,1,332.25,daily_essentials
00158,C0171,2024-06-13,Thursday,June,Dairy,Milk,5,236.37,daily_essentials
00159,C0171,2024-06-13,Thursday,June,Cooking Essentials,Oil,1,101.92,daily_essentials
00160,C0171,2024-06-13,Thursday,June,Fruit & Vegetables,Carrot,3,315.09,daily_essentials
00161,C0256,2024-11-16,Saturday,November,Bakery,Bread,4,441.61,daily_essentials
00162,C0256,2024-11-16,Saturday,November,Dairy,Curd,4,69.5,daily_essentials
00163,C0256,2024-11-16,Saturday,November,Fruit & Vegetables,Onion,5,401.66,daily_essentials
00164,C0256,2024-11-16,Saturday,November,Fruit & Vegetables,Potato,2,162.27,daily_essentials
00165,C0256,2024-11-16,Saturday,November,Dairy,Milk,1,280.6,daily_essentials
00166,C0256,2024-11-16,Saturday,November,Fruit & Vegetables,Carrot,1,120.1,daily_essentials
00167,C0431,2024-02-28,Wednesday,February,Cooking Essentials,Spices,3,213.59,indian_cooking
00168,C0431,2024-02-28,Wednesday,February,Fruit & Vegetables,Tomato,4,490.32,indian_cooking
00169,C0431,2024-02-28,Wednesday,February,Grains & Staples,Rice,2,233.83,indian_cooking
00170,C0431,2024-02-28,Wednesday,February,Cooking Essentials,Sugar,2,197.96,indian_cooking
00171,C0431,2024-02-28,Wednesday,February,Fruit & Vegetables,Potato,5,259.04,indian_cooking
00172,C0431,2024-02-28,Wednesday,February,Grains & Staples,Dal,2,433.37,indian_cooking
00173,C0142,2024-07-31,Wednesday,July,Fruit & Vegetables,Tomato,3,420.36,indian_cooking
00174,C0142,2024-07-31,Wednesday,July,Grains & Staples,Rice,5,499.46,indian_cooking
00175,C0142,2024-07-31,Wednesday,July,Fruit & Vegetables,Onion,4,433.98,indian_cooking
00176,C0142,2024-07-31,Wednesday,July,Dairy,Ghee,4,273.9,indian_cooking
00177,C0142,2024-07-31,Wednesday,July,Cooking Essentials,Oil,3,172.9,indian_cooking
00178,C0391,2024-10-05,Saturday,October,Beverages,Waterbottle,2,429.45,student_budget
00179,C0391,2024-10-05,Saturday,October,Bakery,Bread,4,31.39,student_budget
00180,C0391,2024-10-05,Saturday,October,Beverages,Tea,4,355.56,student_budget
00181,C0391,2024-10-05,Saturday,October,Beverages,Cold Drink,4,199.18,student_budget
00182,C0391,2024-10-05,Saturday,October,Personal Care,Toothpaste,2,252.71,student_budget
00183,C0391,2024-10-05,Saturday,October,Snacks,Chips,1,71.86,student_budget
00184,C0495,2024-10-29,Tuesday,October,Dairy,Butter,4,17.52,family_shopping
00185,C0495,2024-10-29,Tuesday,October,Bakery,Bread,2,210.89,family_shopping
00186,C0495,2024-10-29,Tuesday,October,Grains & Staples,Rice,2,46.67,family_shopping
00187,C0495,2024-10-29,Tuesday,October,Cooking Essentials,Sugar,3,175.9,family_shopping
00188,C0495,2024-10-29,Tuesday,October,Personal Care,Shampoo,4,328.42,family_shopping
00189,C0437,2024-06-17,Monday,June,Snacks,Popcorn,2,375.92,snack_lover
00190,C0437,2024-06-17,Monday,June,Beverages,Cold Drink,4,489.39,snack_lover
00191,C0437,2024-06-17,Monday,June,Bakery,Rusk,1,227.4,snack_lover
00192,C0437,2024-06-17,Monday,June,Fruit & Vegetables,Apple,3,452.68,snack_lover
00193,C0437,2024-06-17,Monday,June,Snacks,Chips,1,168.94,snack_lover
00194,C0437,2024-06-17,Monday,June,Snacks,Namkeen,1,153.75,snack_lover
00195,C0437,2024-06-17,Monday,June,Snacks,Chocolate,3,221.04,snack_lover
00196,C0437,2024-06-17,Monday,June,Grains & Staples,Semolina,2,270.27,snack_lover
00197,C0290,2024-12-15,Sunday,December,Grains & Staples,Oats,4,313.66,health_concious
00198,C0290,2024-12-15,Sunday,December,Fruit & Vegetables,Banana,2,253.86,health_concious
00199,C0290,2024-12-15,Sunday,December,Personal Care,Facewash,5,80.13,health_concious
00200,C0290,2024-12-15,Sunday,December,Dairy,Curd,4,322.57,health_concious
00201,C0236,2024-05-10,Friday,May,Bakery,Bread,3,323.08,breakfast_shopping
00202,C0236,2024-05-10,Friday,May,Dairy,Butter,4,348.25,breakfast_shopping
00203,C0236,2024-05-10,Friday,May,Beverages,Tea,4,424.2,breakfast_shopping
00204,C0236,2024-05-10,Friday,May,Personal Care,Facewash,2,499.69,breakfast_shopping
00205,C0236,2024-05-10,Friday,May,Beverages,Cold Drink,4,62.26,breakfast_shopping
00206,C0236,2024-05-10,Friday,May,Snacks,Chocolate,4,290.24,breakfast_shopping
00207,C0236,2024-05-10,Friday,May,Unknown,Biscuits,5,154.98,breakfast_shopping
00208,C0236,2024-05-10,Friday,May,Dairy,Milk,3,20.75,breakfast_shopping
00209,C0425,2024-12-03,Tuesday,December,Bakery,Bread,2,307.46,student_budget
00210,C0425,2024-12-03,Tuesday,December,Beverages,Tea,3,117.31,student_budget
00211,C0425,2024-12-03,Tuesday,December,Beverages,Cold Drink,2,314.24,student_budget
00212,C0425,2024-12-03,Tuesday,December,Fruit & Vegetables,Tomato,2,317.84,student_budget
00213,C0425,2024-12-03,Tuesday,December,Snacks,Chips,1,161.38,student_budget
00214,C0425,2024-12-03,Tuesday,December,Cooking Essentials,Sugar,4,26.35,student_budget
00215,C0187,2024-03-08,Friday,March,Dairy,Milk,2,108.39,family_shopping
00216,C0187,2024-03-08,Friday,March,Beverages,Waterbottle,5,439.47,family_shopping
00217,C0187,2024-03-08,Friday,March,Personal Care,Shampoo,3,270.12,family_shopping
00218,C0468,2024-05-19,Sunday,May,Fruit & Vegetables,Apple,1,239.48,daily_essentials
00219,C0468,2024-05-19,Sunday,May,Beverages,Tea,1,78.97,daily_essentials
00220,C0468,2024-05-19,Sunday,May,Fruit & Vegetables,Onion,2,431.47,daily_essentials
00221,C0468,2024-05-19,Sunday,May,Fruit & Vegetables,Potato,4,483.96,daily_essentials
00222,C0412,2024-10-12,Saturday,October,Bakery,Bread,1,232.85,student_budget
00223,C0412,2024-10-12,Saturday,October,Beverages,Cold Drink,3,296.43,student_budget
00224,C0412,2024-10-12,Saturday,October,Cooking Essentials,Tomatosauce,3,63.09,student_budget
00225,C0412,2024-10-12,Saturday,October,Snacks,Chips,2,241.02,student_budget
00226,C0412,2024-10-12,Saturday,October,Fruit & Vegetables,Banana,5,443.28,student_budget
00227,C0288,2024-06-16,Sunday,June,Bakery,Bread,2,32.22,breakfast_shopping
00228,C0288,2024-06-16,Sunday,June,Dairy,Butter,1,159.14,breakfast_shopping
00229,C0288,2024-06-16,Sunday,June,Dairy,Curd,4,66.9,breakfast_shopping
00230,C0288,2024-06-16,Sunday,June,Snacks,Namkeen,2,444.76,breakfast_shopping
00231,C0288,2024-06-16,Sunday,June,Unknown,Biscuits,2,200.44,breakfast_shopping
00232,C0288,2024-06-16,Sunday,June,Dairy,Milk,3,338.54,breakfast_shopping
00233,C0288,2024-06-16,Sunday,June,Fruit & Vegetables,Carrot,5,215.37,breakfast_shopping
00234,C0381,2024-03-20,Wednesday,March,Cooking Essentials,Salt,1,348.24,daily_essentials
00235,C0381,2024-03-20,Wednesday,March,Fruit & Vegetables,Apple,2,227.26,daily_essentials
00236,C0381,2024-03-20,Wednesday,March,Snacks,Namkeen,2,429.17,daily_essentials
00237,C0381,2024-03-20,Wednesday,March,Fruit & Vegetables,Onion,1,490.65,daily_essentials
00238,C0381,2024-03-20,Wednesday,March,Fruit & Vegetables,Potato,3,276.79,daily_essentials
00239,C0381,2024-03-20,Wednesday,March,Dairy,Milk,3,39.67,daily_essentials
00240,C0142,2024-04-07,Sunday,April,Dairy,Ghee,2,324.44,indian_cooking
00241,C0142,2024-04-07,Sunday,April,Grains & Staples,Oats,5,485.84,indian_cooking
00242,C0142,2024-04-07,Sunday,April,Cooking Essentials,Spices,1,395.53,indian_cooking
00243,C0125,2024-03-05,Tuesday,March,Bakery,Cookies,3,389.44,family_shopping
00244,C0125,2024-03-05,Tuesday,March,Personal Care,Facewash,5,11.39,family_shopping
00245,C0125,2024-03-05,Tuesday,March,Bakery,Rusk,2,493.89,family_shopping
00246,C0125,2024-03-05,Tuesday,March,Grains & Staples,Rice,5,132.82,family_shopping
00247,C0125,2024-03-05,Tuesday,March,Personal Care,Shampoo,2,63.86,family_shopping
00248,C0125,2024-03-05,Tuesday,March,Grains & Staples,Dal,1,74.58,family_shopping
00249,C0125,2024-03-05,Tuesday,March,Cooking Essentials,Oil,3,397.09,family_shopping
00250,C0122,2024-10-28,Monday,October,Dairy,Ghee,4,267.78,family_shopping
00251,C0122,2024-10-28,Monday,October,Grains & Staples,Rice,1,243.36,family_shopping
00252,C0122,2024-10-28,Monday,October,Grains & Staples,Oats,3,261.49,family_shopping
00253,C0122,2024-10-28,Monday,October,Dairy,Milk,1,231.48,family_shopping
00254,C0122,2024-10-28,Monday,October,Grains & Staples,Dal,2,473.25,family_shopping
00255,C0023,2024-12-03,Tuesday,December,Snacks,Popcorn,1,250.23,daily_essentials
00256,C0023,2024-12-03,Tuesday,December,Cooking Essentials,Salt,4,46.01,daily_essentials
00257,C0023,2024-12-03,Tuesday,December,Snacks,Chips,1,167.83,daily_essentials
00258,C0023,2024-12-03,Tuesday,December,Fruit & Vegetables,Onion,2,42.18,daily_essentials
00259,C0023,2024-12-03,Tuesday,December,Fruit & Vegetables,Potato,3,315.92,daily_essentials
00260,C0023,2024-12-03,Tuesday,December,Dairy,Milk,5,278.69,daily_essentials
00261,C0023,2024-12-03,Tuesday,December,Cooking Essentials,Oil,3,196.64,daily_essentials
00262,C0306,2024-09-28,Saturday,September,Snacks,Popcorn,2,220.73,snack_lover
00263,C0306,2024-09-28,Saturday,September,Dairy,Butter,2,212.77,snack_lover
00264,C0306,2024-09-28,Saturday,September,Personal Care,Soap,4,205.38,snack_lover
00265,C0306,2024-09-28,Saturday,September,Snacks,Chips,1,163.15,snack_lover
00266,C0306,2024-09-28,Saturday,September,Snacks,Namkeen,3,335.9,snack_lover
00267,C0192,2024-03-19,Tuesday,March,Dairy,Panner,2,282.62,breakfast_shopping
00268,C0192,2024-03-19,Tuesday,March,Beverages,Waterbottle,5,478.75,breakfast_shopping
00269,C0192,2024-03-19,Tuesday,March,Dairy,Butter,5,171.53,breakfast_shopping
00270,C0192,2024-03-19,Tuesday,March,Bakery,Bread,1,211.3,breakfast_shopping
00271,C0192,2024-03-19,Tuesday,March,Snacks,Nuts,4,435.37,breakfast_shopping
00272,C0192,2024-03-19,Tuesday,March,Beverages,Tea,1,484.52,breakfast_shopping
00273,C0192,2024-03-19,Tuesday,March,Unknown,Biscuits,5,163.1,breakfast_shopping
00274,C0192,2024-03-19,Tuesday,March,Dairy,Milk,1,293.18,breakfast_shopping
00275,C0109,2024-03-20,Wednesday,March,Cooking Essentials,Spices,5,120.82,indian_cooking
00276,C0109,2024-03-20,Wednesday,March,Dairy,Curd,4,424.13,indian_cooking
00277,C0109,2024-03-20,Wednesday,March,Beverages,Cold Drink,5,310.65,indian_cooking
00278,C0109,2024-03-20,Wednesday,March,Grains & Staples,Rice,5,22.86,indian_cooking
00279,C0109,2024-03-20,Wednesday,March,Fruit & Vegetables,Onion,3,24.19,indian_cooking
00280,C0109,2024-03-20,Wednesday,March,Dairy,Ghee,3,354.32,indian_cooking
00281,C0109,2024-03-20,Wednesday,March,Grains & Staples,Dal,3,461.55,indian_cooking
00282,C0109,2024-03-20,Wednesday,March,Cooking Essentials,Oil,3,12.99,indian_cooking
00283,C0446,2024-03-14,Thursday,March,Cooking Essentials,Spices,4,215.72,breakfast_shopping
00284,C0446,2024-03-14,Thursday,March,Bakery,Bread,3,87.13,breakfast_shopping
00285,C0446,2024-03-14,Thursday,March,Beverages,Tea,3,363.58,breakfast_shopping
00286,C0446,2024-03-14,Thursday,March,Bakery,Rusk,5,302.15,breakfast_shopping
00287,C0446,2024-03-14,Thursday,March,Unknown,Biscuits,1,86.23,breakfast_shopping
00288,C0446,2024-03-14,Thursday,March,Grains & Staples,Oats,5,34.38,breakfast_shopping
00289,C0446,2024-03-14,Thursday,March,Dairy,Milk,1,143.33,breakfast_shopping
00290,C0339,2024-08-05,Monday,August,Cooking Essentials,Spices,1,179.13,indian_cooking
00291,C0339,2024-08-05,Monday,August,Bakery,Brown Bread,1,148.79,indian_cooking
00292,C0339,2024-08-05,Monday,August,Fruit & Vegetables,Tomato,5,248.45,indian_cooking
00293,C0339,2024-08-05,Monday,August,Cooking Essentials,Sugar,3,32.25,indian_cooking
00294,C0339,2024-08-05,Monday,August,Fruit & Vegetables,Onion,4,492.38,indian_cooking
00295,C0339,2024-08-05,Monday,August,Cooking Essentials,Oil,1,13.77,indian_cooking
00296,C0155,2024-04-18,Thursday,April,Fruit & Vegetables,Apple,1,253.72,health_concious
00297,C0155,2024-04-18,Thursday,April,Fruit & Vegetables,Carrot,4,96.09,health_concious
00298,C0155,2024-04-18,Thursday,April,Dairy,Curd,4,270.97,health_concious
00299,C0155,2024-04-18,Thursday,April,Dairy,Butter,2,255.13,health_concious
00300,C0427,2024-12-08,Sunday,December,Grains & Staples,Wheat Flour,4,461.37,daily_essentials
00301,C0427,2024-12-08,Sunday,December,Cooking Essentials,Salt,3,292.12,daily_essentials
00302,C0427,2024-12-08,Sunday,December,Snacks,Namkeen,5,208.17,daily_essentials
00303,C0427,2024-12-08,Sunday,December,Fruit & Vegetables,Potato,4,151.86,daily_essentials
00304,C0427,2024-12-08,Sunday,December,Dairy,Milk,4,20.22,daily_essentials
00305,C0167,2024-03-28,Thursday,March,Cooking Essentials,Spices,4,298.55,indian_cooking
00306,C0167,2024-03-28,Thursday,March,Dairy,Butter,5,48.54,indian_cooking
00307,C0167,2024-03-28,Thursday,March,Bakery,Cookies,3,375.44,indian_cooking
