TransactionID,Items
92,"['Dal', 'Sugar', 'Milk', 'Butter', 'Bread']"
93,"['Tea', 'Nuts', 'Spices', 'Butter']"
94,"['Coffee', 'Milk', 'Butter', 'Tea', 'Biscuits', 'Panner']"
95,"['Cold Drink', 'Bread', 'Dal', 'Rice']"
96,"['Dal', 'Chips', 'Cheese', 'Soap', 'Tea', 'Biscuits', 'Cold Drink']"
97,"['Tea', 'Bread', 'Wheat Flour']"
98,"['Tomatosauce', 'Biscuits', 'Cold Drink', 'Rice']"
99,"['Cold Drink', 'Chips', 'Juice', 'Onion', 'Tea', 'Biscuits', 'Bread', 'Apple']"
100,"['Toothpaste', 'Tea', 'Biscuits', 'Bread', 'Rice']"
101,"['Cold Drink', 'Chips', 'Sugar', 'Bread', 'Panner']"
102,"['Chips', 'Biscuits', 'Cheese']"
103,"['Chips', 'Cheese', 'Juice', 'Biscuits', 'Bread']"
104,"['Cold Drink', 'Chips', 'Sugar', 'Facewash', 'Soap', 'Biscuits', 'Bread']"
105,"['Banana', 'Chips', 'Sugar', 'Biscuits', 'Cold Drink']"
106,"['Chips', 'Bread', 'Rusk', 'Popcorn']"
107,"['Cold Drink', 'Coffee', 'Bread']"
108,"['Banana', 'Shampoo', 'Cold Drink', 'Chips', 'Waterbottle', 'Tea', 'Bread']"
109,"['Oil', 'Chips', 'Spices', 'Bread', 'Cold Drink']"
110,"['Chips', 'Cold Drink', 'Coffee', 'Wheat Flour']"
111,"['Tea', 'Biscuits', 'Tomato', 'Oil']"
112,"['Toothpaste', 'Chips', 'Bread', 'Butter', 'Tea', 'Biscuits', 'Cold Drink', 'Panner']"
113,"['Tea', 'Sugar', 'Cold Drink', 'Poha']"
114,"['Chips', 'Nuts', 'Namkeen', 'Biscuits', 'Cold Drink']"
115,"['Cold Drink', 'Oil', 'Namkeen', 'Tea', 'Biscuits', 'Bread']"
116,"['Chips', 'Bread', 'Waterbottle']"
117,"['Salt', 'Chips', 'Bread', 'Carrot', 'Tea', 'Cold Drink', 'Panner']"
118,"['Shampoo', 'Banana', 'Chips', 'Butter', 'Tea', 'Biscuits', 'Cold Drink']"
119,"['Oats', 'Chips', 'Bread', 'Brown Bread', 'Tea', 'Biscuits', 'Cold Drink', 'Apple']"
120,"['Cold Drink', 'Chips', 'Sugar', 'Carrot', 'Soap', 'Tea', 'Biscuits', 'Bread']"
121,"['Coffee', 'Dal', 'Chips', 'Tea', 'Biscuits', 'Bread']"
122,"['Namkeen', 'Nuts', 'Bread', 'Oil']"
123,"['Milk', 'Bread', 'Oil', 'Cold Drink']"
124,"['Rusk', 'Milk', 'Oil']"
125,"['Salt', 'Toothpaste', 'Oil', 'Coffee', 'Potato', 'Milk', 'Juice', 'Bread']"
126,"['Shampoo', 'Salt', 'Onion']"
127,"['Salt', 'Oil', 'Potato', 'Rice', 'Onion', 'Cookies']"
128,"['Salt', 'Oil', 'Coffee', 'Waterbottle', 'Milk', 'Wheat Flour', 'Onion', 'Bread']"
129,"['Cold Drink', 'Potato', 'Milk', 'Onion', 'Bread', 'Apple', 'Panner', 'Potato', 'Salt', 'Oil', 'Biscuit']"
130,"['Potato', 'Salt', 'Bread', 'Rusk']"
131,"['Potato', 'Biscuits', 'Butter']"
132,"['Milk', 'Soap', 'Butter', 'Biscuits', 'Bread']"
133,"['Oil', 'Spices', 'Juice', 'Butter', 'Tea', 'Biscuits', 'Bread']"
134,"['Cold Drink', 'Milk', 'Popcorn', 'Tea', 'Bread']"
135,"['Wheat Flour', 'Biscuits', 'Butter']"
136,"['Sugar', 'Milk', 'Juice', 'Butter', 'Tea', 'Biscuits', 'Cookies']"
137,"['Biscuit', 'Tea', 'Ghee', 'Butter']"
138,"['Chips', 'Spices', 'Butter', 'Tea', 'Bread']"
139,"['Shampoo', 'Tea', 'Bread', 'Semolina']"
140,"['Bread', 'Milk', 'Cookies', 'Popcorn']"
141,"['Tomato', 'Milk', 'Juice', 'Tea', 'Biscuits', 'Bread']"
142,"['Milk', 'Carrot', 'Wheat Flour', 'Butter', 'Tea', 'Biscuits']"
143,"['Potato', 'Waterbottle', 'Milk', 'Soap', 'Butter', 'Tea', 'Biscuits', 'Bread']"
144,"['Toothpaste', 'Semolina', 'Milk', 'Tea', 'Biscuits', 'Bread']"
145,"['Salt', 'Oil', 'Chips', 'Facewash', 'Onion', 'Bread']"
146,"['Salt', 'Nuts', 'Dal', 'Onion']"
147,"['Salt', 'Oil', 'Namkeen']"
148,"['Facewash', 'Bread', 'Milk']"
149,"['Biscuit', 'Bread', 'Oil']"
150,"['Salt', 'Waterbottle', 'Milk', 'Curd']"
151,"['Salt', 'Potato', 'Milk', 'Bread', 'Panner']"
152,"['Dal', 'Potato', 'Milk', 'Wheat Flour', 'Onion', 'Bread']"
153,"['Potato', 'Nuts', 'Milk', 'Brown Bread', 'Onion', 'Bread']"
154,"['Toothpaste', 'Oil', 'Oats', 'Cold Drink', 'Potato', 'Milk', 'Onion', 'Bread']"
155,"['Salt', 'Tomato', 'Facewash', 'Milk', 'Bread']"
156,"['Oil', 'Sugar', 'Milk', 'Brown Bread', 'Soap', 'Onion', 'Bread']"
157,"['Salt', 'Bread', 'Oil']"
158,"['Poha', 'Namkeen', 'Chocolate']"
159,"['Chips', 'Chocolate', 'Onion', 'Popcorn', 'Rusk']"
160,"['Dal', 'Spices', 'Namkeen', 'Chocolate', 'Popcorn']"
161,"['Oats', 'Chips', 'Sugar', 'Namkeen', 'Chocolate', 'Popcorn', 'Cold Drink', 'Panner']"
162,"['Rusk', 'Cold Drink', 'Namkeen', 'Wheat Flour']"
163,"['Popcorn', 'Ghee', 'Chocolate', 'Carrot']"
164,"['Spices', 'Cold Drink', 'Popcorn']"
165,"['Cold Drink', 'Oil', 'Chips', 'Namkeen', 'Ghee', 'Popcorn', 'Rusk']"
166,"['Chips', 'Spices', 'Namkeen', 'Chocolate', 'Popcorn']"
167,"['Shampoo', 'Chips', 'Chocolate', 'Wheat Flour', 'Popcorn']"
168,"['Milk', 'Popcorn', 'Namkeen', 'Rice']"
169,"['Tomatosauce', 'Namkeen', 'Chocolate', 'Popcorn', 'Rusk']"
170,"['Tomatosauce', 'Chips', 'Namkeen', 'Biscuit', 'Popcorn', 'Cold Drink']"
171,"['Chips', 'Biscuits', 'Milk']"
172,"['Poha', 'Dal', 'Facewash', 'Milk', 'Butter', 'Tea', 'Biscuits', 'Bread']"
173,"['Carrot', 'Soap', 'Butter', 'Tea', 'Biscuits']"
174,"['Coffee', 'Cheese', 'Butter', 'Tea', 'Biscuits']"
175,"['Biscuit', 'Milk', 'Butter']"
176,"['Sugar', 'Facewash', 'Milk', 'Butter', 'Tea', 'Biscuits', 'Bread', 'Apple']"
177,"['Biscuits', 'Milk', 'Panner']"
178,"['Tea', 'Bread', 'Panner', 'Carrot']"
179,"['Milk', 'Curd', 'Carrot', 'Biscuit', 'Butter', 'Tea', 'Biscuits', 'Bread']"
180,"['Oats', 'Coffee', 'Butter', 'Tea', 'Biscuits', 'Bread']"
181,"['Banana', 'Coffee', 'Butter', 'Biscuits', 'Bread']"
182,"['Tea', 'Cold Drink', 'Milk', 'Poha']"
183,"['Toothpaste', 'Tomato', 'Semolina', 'Milk', 'Butter', 'Tea', 'Biscuits', 'Bread']"
184,"['Biscuits', 'Toothpaste', 'Butter']"
185,"['Tea', 'Tomato', 'Milk', 'Butter']"
186,"['Tomatosauce', 'Nuts', 'Milk', 'Juice', 'Butter', 'Tea', 'Biscuits', 'Bread']"
187,"['Facewash', 'Milk', 'Butter']"
188,"['Spices', 'Milk', 'Curd', 'Brown Bread', 'Butter', 'Tea', 'Biscuits']"
189,"['Tomato', 'Milk', 'Tea', 'Biscuits', 'Bread', 'Apple']"
190,"['Shampoo', 'Milk', 'Soap', 'Butter', 'Onion', 'Tea', 'Biscuits', 'Bread']"
191,"['Biscuits', 'Bread', 'Curd']"
192,"['Chips', 'Butter', 'Biscuits', 'Bread', 'Apple']"
193,"['Oats', 'Juice', 'Butter', 'Onion', 'Tea', 'Biscuits', 'Bread']"
194,"['Cheese', 'Facewash', 'Milk', 'Butter', 'Wheat Flour', 'Tea', 'Biscuits', 'Bread']"
195,"['Milk', 'Ghee', 'Butter', 'Tea', 'Biscuits', 'Bread']"
196,"['Toothpaste', 'Milk', 'Carrot', 'Butter', 'Tea', 'Bread']"
197,"['Tomatosauce', 'Salt', 'Milk', 'Tea', 'Biscuits', 'Bread']"
198,"['Nuts', 'Milk', 'Wheat Flour', 'Tea', 'Biscuits', 'Bread']"
199,"['Chips', 'Tea', 'Biscuits', 'Semolina']"
200,"['Poha', 'Spices', 'Milk', 'Soap', 'Butter', 'Tea', 'Biscuits', 'Bread']"
201,"['Tea', 'Tomato', 'Oil', 'Onion']"
202,"['Chips', 'Tomato', 'Rice', 'Onion']"
203,"['Oil', 'Dal', 'Cookies', 'Spices', 'Sugar', 'Ghee', 'Juice', 'Rice']"
204,"['Tomato', 'Oil', 'Spices', 'Ghee', 'Brown Bread', 'Butter', 'Poha', 'Rice']"
205,"['Spices', 'Nuts', 'Popcorn', 'Dal']"
206,"['Tomato', 'Ghee', 'Oil']"
207,"['Tomato', 'Coffee', 'Chips', 'Onion', 'Rice']"
208,"['Semolina', 'Spices', 'Sugar', 'Ghee', 'Onion']"
209,"['Potato', 'Tomato', 'Ghee', 'Rice']"
210,"['Toothpaste', 'Oil', 'Dal', 'Milk', 'Ghee', 'Biscuit', 'Onion']"
211,"['Carrot', 'Ghee', 'Poha', 'Onion']"
212,"['Tomato', 'Dal', 'Cookies', 'Sugar', 'Ghee', 'Onion', 'Poha', 'Rice']"
213,"['Salt', 'Tomato', 'Dal', 'Spices', 'Sugar', 'Curd', 'Ghee', 'Rice']"
214,"['Spices', 'Bread', 'Tomato', 'Soap']"
215,"['Banana', 'Tomato', 'Oil', 'Dal', 'Cookies', 'Sugar', 'Rice']"
216,"['Tomato', 'Ghee', 'Onion', 'Tea', 'Cold Drink', 'Rice']"
217,"['Oil', 'Spices', 'Ghee', 'Onion', 'Tea']"
218,"['Tomato', 'Oil', 'Dal', 'Soap', 'Onion', 'Rice']"
219,"['Tomato', 'Semolina', 'Potato', 'Spices', 'Ghee', 'Rice']"
220,"['Sugar', 'Rice', 'Onion']"
221,"['Spices', 'Facewash', 'Tomato', 'Juice']"
222,"['Tomato', 'Dal', 'Juice', 'Poha', 'Rice']"
223,"['Oil', 'Cold Drink', 'Coffee', 'Milk', 'Onion', 'Bread']"
224,"['Toothpaste', 'Oil', 'Milk', 'Soap', 'Onion']"
225,"['Salt', 'Bread', 'Brown Bread']"
226,"['Potato', 'Chocolate', 'Curd', 'Onion']"
227,"['Potato', 'Ghee', 'Oil']"
228,"['Salt', 'Milk', 'Onion']"
229,"['Oats', 'Potato', 'Milk', 'Curd', 'Onion']"
230,"['Tomatosauce', 'Oil', 'Potato', 'Sugar', 'Milk', 'Onion']"
231,"['Shampoo', 'Salt', 'Potato', 'Milk', 'Onion', 'Bread', 'Rusk']"
232,"['Potato', 'Milk', 'Curd']"
233,"['Salt', 'Oil', 'Curd', 'Carrot', 'Onion']"
234,"['Salt', 'Semolina', 'Oil', 'Panner']"
235,"['Nuts', 'Bread', 'Onion']"
236,"['Salt', 'Oil', 'Potato', 'Chips', 'Milk', 'Onion', 'Popcorn']"
237,"['Salt', 'Rusk', 'Semolina', 'Onion']"
238,"['Salt', 'Oil', 'Potato', 'Milk', 'Panner']"
239,"['Toothpaste', 'Cheese', 'Butter', 'Wheat Flour', 'Tea', 'Biscuits', 'Bread']"
240,"['Tomato', 'Spices', 'Milk', 'Popcorn', 'Tea', 'Biscuits', 'Bread']"
241,"['Ghee', 'Bread', 'Milk']"
242,"['Tea', 'Bread', 'Ghee', 'Chocolate']"
243,"['Oats', 'Milk', 'Juice', 'Butter', 'Wheat Flour', 'Tea', 'Biscuits']"
244,"['Spices', 'Milk', 'Ghee', 'Butter', 'Tea', 'Bread', 'Rice']"
245,"['Milk', 'Butter', 'Curd']"
246,"['Banana', 'Poha', 'Milk', 'Butter', 'Tea', 'Bread', 'Rusk']"
247,"['Biscuits', 'Oil', 'Butter']"
248,"['Chips', 'Tea', 'Biscuits']"
249,"['Nuts', 'Milk', 'Carrot', 'Chocolate', 'Butter', 'Biscuits', 'Bread']"
250,"['Potato', 'Popcorn', 'Milk', 'Curd']"
251,"['Salt', 'Potato', 'Cheese', 'Biscuit', 'Onion']"
252,"['Tomato', 'Oil', 'Milk', 'Chocolate', 'Onion', 'Bread']"
253,"['Salt', 'Oil', 'Wheat Flour', 'Butter']"
254,"['Salt', 'Potato', 'Chips', 'Nuts', 'Milk', 'Namkeen', 'Bread']"
255,"['Salt', 'Potato', 'Spices', 'Milk', 'Brown Bread', 'Onion', 'Bread', 'Rice']"
256,"['Salt', 'Oil', 'Cold Drink', 'Potato', 'Sugar', 'Bread']"
257,"['Salt', 'Potato', 'Popcorn', 'Bread', 'Rusk']"
258,"['Salt', 'Oil', 'Potato', 'Milk', 'Chocolate', 'Onion', 'Poha']"
259,"['Salt', 'Facewash', 'Milk', 'Onion', 'Cold Drink']"
260,"['Salt', 'Oil', 'Potato', 'Milk', 'Carrot', 'Popcorn', 'Onion', 'Bread', 'Salt', 'Potato', 'Milk', 'Curd', 'Biscuit', 'Soap', 'Onion', 'Bread']"
261,"['Banana', 'Apple', 'Dal', 'Onion']"
262,"['Banana', 'Tomato', 'Oil', 'Dal', 'Cheese', 'Rice']"
263,"['Toothpaste', 'Dal', 'Onion']"
264,"['Sugar', 'Ghee', 'Brown Bread', 'Onion', 'Rice']"
265,"['Cold Drink', 'Ghee', 'Bread', 'Onion']"
266,"['Spices', 'Toothpaste', 'Brown Bread', 'Onion']"
267,"['Apple', 'Dal', 'Cheese', 'Spices', 'Curd', 'Onion', 'Rice']"
268,"['Tomato', 'Oil', 'Semolina', 'Dal', 'Ghee', 'Butter', 'Rusk', 'Rice']"
269,"['Semolina', 'Oil', 'Spices', 'Waterbottle', 'Ghee']"
270,"['Tomato', 'Dal', 'Facewash', 'Ghee', 'Rice']"
271,"['Chips', 'Dal', 'Onion']"
272,"['Oil', 'Ghee', 'Brown Bread', 'Onion', 'Bread', 'Rice']"
273,"['Tomato', 'Oil', 'Oats', 'Ghee', 'Onion', 'Rice']"
274,"['Spices', 'Rice', 'Cookies']"
275,"['Banana', 'Cold Drink', 'Chips', 'Cheese', 'Tea', 'Biscuits', 'Bread', 'Panner']"
276,"['Chips', 'Tomato', 'Bread']"
277,"['Tomato', 'Chips', 'Bread', 'Ghee', 'Tea', 'Biscuits', 'Cold Drink', 'Rice']"
278,"['Chips', 'Milk', 'Biscuit', 'Tea', 'Biscuits', 'Cold Drink', 'Panner']"
279,"['Chips', 'Waterbottle', 'Milk', 'Bread', 'Onion', 'Tea', 'Biscuits', 'Cold Drink']"
280,"['Cold Drink', 'Chips', 'Facewash', 'Popcorn', 'Tea', 'Biscuits', 'Bread', 'Apple']"
281,"['Tomatosauce', 'Tea', 'Nuts', 'Bread']"
282,"['Potato', 'Spices', 'Tea', 'Biscuits', 'Cold Drink']"
283,"['Biscuits', 'Cold Drink', 'Waterbottle']"
284,"['Cold Drink', 'Chips', 'Waterbottle', 'Namkeen', 'Brown Bread', 'Tea', 'Biscuits', 'Bread']"
285,"['Cold Drink', 'Oil', 'Coffee', 'Cheese', 'Tea', 'Biscuits', 'Bread', 'Chips', 'Juice', 'Chocolate', 'Wheat Flour', 'Tea', 'Biscuits', 'Cold Drink']"
286,"['Chips', 'Biscuits', 'Milk']"
287,"['Cold Drink', 'Nuts', 'Butter', 'Onion', 'Tea', 'Biscuits', 'Bread']"
288,"['Cold Drink', 'Oil', 'Poha', 'Chips', 'Spices', 'Tea', 'Biscuits', 'Bread']"
289,"['Biscuits', 'Bread', 'Milk', 'Panner']"
290,"['Chips', 'Bread', 'Biscuit']"
291,"['Tea', 'Biscuits', 'Cold Drink', 'Salt']"
292,"['Oil', 'Chips', 'Onion', 'Biscuits', 'Bread']"
293,"['Chips', 'Nuts', 'Ghee', 'Tea', 'Biscuits']"
294,"['Tea', 'Nuts', 'Bread']"
295,"['Bread', 'Carrot', 'Brown Bread', 'Tea', 'Biscuits', 'Cold Drink']"
296,"['Cold Drink', 'Coffee', 'Poha', 'Chips', 'Onion', 'Tea', 'Bread']"
297,"['Oil', 'Chips', 'Nuts', 'Biscuits', 'Cold Drink']"
298,"['Chips', 'Tea', 'Semolina', 'Apple']"
299,"['Cold Drink', 'Semolina', 'Chips', 'Namkeen', 'Butter', 'Tea', 'Biscuits', 'Bread']"
300,"['Chips', 'Tea', 'Toothpaste', 'Cold Drink']"
301,"['Cold Drink', 'Potato', 'Cheese', 'Tea', 'Bread']"
302,"['Oil', 'Namkeen', 'Milk', 'Onion', 'Popcorn']"
303,"['Salt', 'Oil', 'Potato', 'Milk', 'Namkeen', 'Butter', 'Onion']"
304,"['Salt', 'Oil', 'Potato', 'Onion', 'Tea', 'Bread']"
305,"['Potato', 'Wheat Flour', 'Bread', 'Butter']"
306,"['Salt', 'Cold Drink', 'Coffee', 'Waterbottle', 'Milk', 'Onion', 'Bread']"
307,"['Salt', 'Sugar', 'Chocolate', 'Onion', 'Bread']"
308,"['Chips', 'Chocolate', 'Dal']"
309,"['Chips', 'Facewash', 'Popcorn', 'Chocolate']"
310,"['Potato', 'Dal', 'Cold Drink', 'Popcorn']"
311,"['Cold Drink', 'Namkeen', 'Chocolate', 'Popcorn', 'Rusk', 'Apple']"
312,"['Salt', 'Chips', 'Cheese', 'Namkeen', 'Chocolate', 'Popcorn', 'Cold Drink', 'Rice']"
313,"['Popcorn', 'Chocolate', 'Wheat Flour']"
314,"['Spices', 'Carrot', 'Chocolate', 'Onion', 'Rice']"
315,"['Dal', 'Spices', 'Ghee', 'Chocolate', 'Onion', 'Popcorn']"
316,"['Spices', 'Ghee', 'Onion']"
317,"['Shampoo', 'Chocolate', 'Dal', 'Onion']"
318,"['Ghee', 'Dal', 'Oil']"
319,"['Oil', 'Nuts', 'Ghee', 'Brown Bread', 'Onion', 'Rice']"
320,"['Tomatosauce', 'Tomato', 'Oil', 'Cheese', 'Rice']"
321,"['Tomato', 'Oil', 'Dal', 'Milk', 'Onion']"
322,"['Tomato', 'Oil', 'Potato', 'Namkeen', 'Onion', 'Rice']"
323,"['Tomato', 'Oil', 'Coffee', 'Biscuit', 'Onion', 'Rice']"
324,"['Waterbottle', 'Oats', 'Dal', 'Onion']"
325,"['Salt', 'Tomato', 'Oil']"
326,"['Shampoo', 'Cold Drink', 'Namkeen', 'Chocolate']"
327,"['Chips', 'Curd', 'Chocolate', 'Wheat Flour', 'Popcorn']"
328,"['Salt', 'Cold Drink', 'Coffee', 'Chips', 'Spices', 'Chocolate', 'Popcorn']"
329,"['Cold Drink', 'Chips', 'Sugar', 'Namkeen', 'Tea', 'Popcorn']"
330,"['Cold Drink', 'Chips', 'Facewash', 'Namkeen', 'Chocolate', 'Butter', 'Wheat Flour', 'Popcorn']"
331,"['Chips', 'Chocolate', 'Cheese']"
332,"['Popcorn', 'Namkeen', 'Panner']"
333,"['Chips', 'Nuts', 'Namkeen', 'Popcorn', 'Rice']"
334,"['Dal', 'Chips', 'Cheese', 'Namkeen', 'Juice', 'Chocolate', 'Popcorn', 'Cold Drink']"
335,"['Toothpaste', 'Coffee', 'Chips', 'Namkeen', 'Chocolate']"
336,"['Shampoo', 'Salt', 'Oil', 'Milk', 'Panner']"
337,"['Oil', 'Coffee', 'Sugar', 'Milk', 'Onion', 'Bread']"
338,"['Salt', 'Oil', 'Potato', 'Facewash', 'Milk', 'Carrot', 'Soap', 'Onion']"
339,"['Potato', 'Salt', 'Sugar', 'Milk']"
340,"['Bread', 'Milk', 'Oats', 'Juice']"
341,"['Salt', 'Oil', 'Potato', 'Sugar', 'Milk', 'Onion']"
342,"['Oil', 'Potato', 'Carrot', 'Chocolate', 'Onion']"
343,"['Salt', 'Oil', 'Bread', 'Rice', 'Panner']"
344,"['Tea', 'Bread', 'Oil', 'Curd']"
345,"['Salt', 'Tomato', 'Oil', 'Onion', 'Tea', 'Bread']"
346,"['Banana', 'Oats', 'Spices', 'Nuts', 'Milk', 'Poha']"
