antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,SemanticSimilarity
"frozenset({'Tea', 'Biscuits'})","frozenset({'Milk', 'Bread'})",0.148,0.1778,0.0494,0.3337837837837838,1.8772991213936097,1.0,0.023085599999999998,1.234133874239351,0.5484974625078406,0.17872648335745298,0.18971513474067597,0.305812026875019,0.531
"frozenset({'Milk', 'Bread'})","frozenset({'Tea', 'Biscuits'})",0.1778,0.148,0.0494,0.2778402699662542,1.8772991213936097,1.0,0.023085599999999998,1.1797943925233645,0.5683773267534421,0.17872648335745298,0.15239468305898382,0.305812026875019,0.531
"frozenset({'Bread', 'Biscuits'})","frozenset({'Tea', 'Milk'})",0.1432,0.1076,0.0494,0.34497206703910616,3.2060601025939235,1.0,0.033991679999999996,1.3623846481876332,0.8030937071184748,0.2452830188679245,0.26599290345036547,0.40203993686527795,0.287
"frozenset({'Milk', 'Biscuits'})","frozenset({'Tea', 'Bread'})",0.0838,0.1614,0.0494,0.5894988066825776,3.6524089633369123,1.0,0.03587468,2.042868604651163,0.7926305360903644,0.25229826353421864,0.5104922569551367,0.4477853389051054,0.531
frozenset({'Tea'}),"frozenset({'Milk', 'Bread', 'Biscuits'})",0.2636,0.0608,0.0494,0.18740515933232169,3.0823216995447646,1.0,0.03337312,1.155803548085901,0.9173943926795638,0.17963636363636362,0.13480106402504438,0.49995257966616086,0.531
frozenset({'Bread'}),"frozenset({'Tea', 'Milk', 'Biscuits'})",0.395,0.0642,0.0494,0.1250632911392405,1.9480263417327184,1.0,0.024041,1.0695630787037036,0.8043965603774216,0.12054660810151294,0.0650387808711696,0.44726684806183215,0.287
frozenset({'Milk'}),"frozenset({'Tea', 'Bread', 'Biscuits'})",0.3692,0.1056,0.0494,0.13380281690140847,1.2670721297481862,1.0,0.010412480000000002,1.032559349593496,0.3341454460501285,0.11612599905970851,0.031532666481896766,0.3008029236022194,0.531
frozenset({'Biscuits'}),"frozenset({'Tea', 'Bread', 'Milk'})",0.2078,0.0716,0.0494,0.2377285851780558,3.3202316365650253,1.0,0.03452152,1.217938888888889,0.8821209219035393,0.2147826086956522,0.17894074232879773,0.4638363596281341,0.321
frozenset({'Chips'}),frozenset({'Cold Drink'}),0.2168,0.2072,0.1244,0.5738007380073801,2.7693085811166993,1.0,0.07947904,1.8601627705627704,0.8157546416876595,0.41522029372496666,0.46241263623534323,0.5870934191967403,0.216
frozenset({'Cold Drink'}),frozenset({'Chips'}),0.2072,0.2168,0.1244,0.6003861003861004,2.7693085811166993,1.0,0.07947904,1.9598917874396136,0.8058766843715628,0.41522029372496666,0.4897677481947145,0.5870934191967403,0.216
frozenset({'Bread'}),frozenset({'Cold Drink'}),0.395,0.2072,0.0856,0.21670886075949364,1.0458921851326912,1.0,0.0037559999999999955,1.0121396250808015,0.07252645400478867,0.16569879984514127,0.011994022148705402,0.3149181369434534,0.239
frozenset({'Cold Drink'}),frozenset({'Bread'}),0.2072,0.395,0.0856,0.41312741312741313,1.0458921851326914,1.0,0.0037559999999999955,1.0308881578947369,0.055346247064703764,0.16569879984514127,0.029962666326302675,0.3149181369434534,0.239
frozenset({'Tea'}),frozenset({'Cold Drink'}),0.2636,0.2072,0.0798,0.30273141122913505,1.4610589345035476,1.0,0.025182079999999996,1.1370080522306854,0.4285237809352278,0.20409207161125317,0.12049875281172434,0.34393327318213507,0.521
frozenset({'Cold Drink'}),frozenset({'Tea'}),0.2072,0.2636,0.0798,0.38513513513513514,1.4610589345035476,1.0,0.025182079999999996,1.1976615384615383,0.3980384867314603,0.20409207161125317,0.16503956427910801,0.34393327318213507,0.521
frozenset({'Biscuits'}),frozenset({'Cold Drink'}),0.2078,0.2072,0.071,0.34167468719923,1.6490091081043918,1.0,0.02794383999999999,1.2042678362573098,0.49681294025196354,0.20639534883720928,0.1696199384450429,0.34216938993166135,0.228
frozenset({'Cold Drink'}),frozenset({'Biscuits'}),0.2072,0.2078,0.071,0.34266409266409265,1.6490091081043918,1.0,0.02794383999999999,1.2051676945668135,0.49643694660394244,0.20639534883720928,0.17023995539521916,0.34216938993166135,0.228
"frozenset({'Chips', 'Bread'})",frozenset({'Cold Drink'}),0.0884,0.2072,0.052,0.588235294117647,2.838973427208721,1.0,0.033683519999999995,1.925371428571428,0.7105748135146993,0.21346469622331693,0.4806196949011693,0.41960027254144894,0.216
"frozenset({'Chips', 'Cold Drink'})",frozenset({'Bread'}),0.1244,0.395,0.052,0.4180064308681672,1.05824412878017,1.0,0.0028619999999999965,1.0395303867403316,0.06285799627508162,0.11125374411638853,0.03802715845978045,0.27482600024421017,0.454
"frozenset({'Bread', 'Cold Drink'})",frozenset({'Chips'}),0.0856,0.2168,0.052,0.6074766355140186,2.8020140014484256,1.0,0.03344192,1.9952952380952378,0.7033178544989569,0.20766773162939295,0.4988210361517092,0.42366451701900193,0.454
frozenset({'Chips'}),"frozenset({'Bread', 'Cold Drink'})",0.2168,0.0856,0.052,0.23985239852398524,2.802014001448426,1.0,0.03344192,1.2029242718446602,0.8211361672035831,0.20766773162939295,0.1686924743263181,0.42366451701900193,0.454
frozenset({'Bread'}),"frozenset({'Chips', 'Cold Drink'})",0.395,0.1244,0.052,0.13164556962025314,1.05824412878017,1.0,0.0028619999999999965,1.0083440233236152,0.09097266369993633,0.11125374411638853,0.008274976724820863,0.27482600024421017,0.454
frozenset({'Cold Drink'}),"frozenset({'Chips', 'Bread'})",0.2072,0.0884,0.052,0.25096525096525096,2.838973427208721,1.0,0.033683519999999995,1.2170329896907215,0.8170534813319879,0.21346469622331693,0.17832958640330293,0.41960027254144894,0.216
"frozenset({'Chips', 'Tea'})",frozenset({'Cold Drink'}),0.079,0.2072,0.0534,0.6759493670886076,3.262303895215288,1.0,0.0370312,2.44653125,0.7529513189945791,0.2293814432989691,0.5912580311410288,0.4668356874053077,0.216
"frozenset({'Chips', 'Cold Drink'})",frozenset({'Tea'}),0.1244,0.2636,0.0534,0.42926045016077174,1.6284539080454163,1.0,0.02060816,1.2902557746478873,0.44074988493711315,0.15959354453078303,0.22495987257030386,0.31592005816081076,0.209
"frozenset({'Tea', 'Cold Drink'})",frozenset({'Chips'}),0.0798,0.2168,0.0534,0.6691729323308271,3.086591016286103,1.0,0.036099360000000004,2.3674,0.7346424446077917,0.21957236842105268,0.5775956745797077,0.45774144771522907,0.209
frozenset({'Chips'}),"frozenset({'Tea', 'Cold Drink'})",0.2168,0.0798,0.0534,0.24630996309963102,3.086591016286103,1.0,0.036099360000000004,1.2209263157894739,0.863148592349451,0.21957236842105268,0.1809497534227679,0.45774144771522907,0.209
frozenset({'Tea'}),"frozenset({'Chips', 'Cold Drink'})",0.2636,0.1244,0.0534,0.20257966616084977,1.6284539080454161,1.0,0.02060816,1.0980407231208373,0.5240638229914942,0.15959354453078303,0.08928696455099334,0.31592005816081076,0.209
frozenset({'Cold Drink'}),"frozenset({'Chips', 'Tea'})",0.2072,0.079,0.0534,0.25772200772200776,3.2623038952152883,1.0,0.0370312,1.2407750325097529,0.8747075741599489,0.2293814432989691,0.19405212564821686,0.4668356874053077,0.216
"frozenset({'Tea', 'Bread'})",frozenset({'Cold Drink'}),0.1614,0.2072,0.0528,0.3271375464684015,1.5788491624922851,1.0,0.01935792,1.1782497237569058,0.4371896884417753,0.16719442685243827,0.15128348444551148,0.29098190064732815,0.521
"frozenset({'Tea', 'Cold Drink'})",frozenset({'Bread'}),0.0798,0.395,0.0528,0.6616541353383459,1.6750737603502428,1.0,0.021279,1.7881111111111114,0.4379606212088281,0.1251184834123223,0.44075063692288585,0.39766251070714764,0.287
"frozenset({'Bread', 'Cold Drink'})",frozenset({'Tea'}),0.0856,0.2636,0.0528,0.6168224299065421,2.3399940436515254,1.0,0.03023584,1.9218243902439027,0.6262559983032424,0.17813765182186234,0.4796610943869394,0.40856296002155634,0.287
frozenset({'Tea'}),"frozenset({'Bread', 'Cold Drink'})",0.2636,0.0856,0.0528,0.20030349013657056,2.3399940436515254,1.0,0.03023584,1.1434337760910815,0.7776323802939774,0.17813765182186234,0.12544126217910168,0.40856296002155634,0.287
