TransactionID,Customer_ID,Date,DayOfWeek,Month,Category,Product,Quantity,Price,CustomerType,TotalAmount,Year,WeekNumber
26,C0011,2024-12-10,Tuesday,December,Cooking Essentials,Spices,4,321.04,student_budget,1284.16,2024,50
26,C0011,2024-12-10,Tuesday,December,Bakery,Bread,4,484.84,student_budget,1939.36,2024,50
26,C0011,2024-12-10,Tuesday,December,Beverages,Cold Drink,4,180.5,student_budget,722.0,2024,50
27,C0171,2024-06-13,Thursday,June,Personal Care,Toothpaste,1,232.86,daily_essentials,232.86,2024,24
27,C0171,2024-06-13,Thursday,June,Cooking Essentials,Oil,3,133.68,daily_essentials,401.04,2024,24
27,C0171,2024-06-13,Thursday,June,Fruit & Vegetables,Potato,1,485.39,daily_essentials,485.39,2024,24
27,C0171,2024-06-13,Thursday,June,Dairy,Milk,4,433.81,daily_essentials,1735.24,2024,24
27,C0171,2024-06-13,Thursday,June,Snacks,Namkeen,1,332.25,daily_essentials,332.25,2024,24
27,C0171,2024-06-13,Thursday,June,Fruit & Vegetables,Carrot,5,236.37,daily_essentials,1181.85,2024,24
27,C0171,2024-06-13,Thursday,June,Fruit & Vegetables,Onion,1,101.92,daily_essentials,101.92,2024,24
27,C0171,2024-06-13,Thursday,June,Bakery,Bread,3,315.09,daily_essentials,945.27,2024,24
28,C0256,2024-11-16,Saturday,November,Fruit & Vegetables,Potato,4,441.61,daily_essentials,1766.44,2024,46
28,C0256,2024-11-16,Saturday,November,Dairy,Milk,4,69.5,daily_essentials,278.0,2024,46
28,C0256,2024-11-16,Saturday,November,Dairy,Curd,5,401.66,daily_essentials,2008.3000000000002,2024,46
28,C0256,2024-11-16,Saturday,November,Fruit & Vegetables,Carrot,2,162.27,daily_essentials,324.54,2024,46
28,C0256,2024-11-16,Saturday,November,Fruit & Vegetables,Onion,1,280.6,daily_essentials,280.6,2024,46
28,C0256,2024-11-16,Saturday,November,Bakery,Bread,1,120.1,daily_essentials,120.1,2024,46
29,C0431,2024-02-28,Wednesday,February,Fruit & Vegetables,Tomato,3,213.59,indian_cooking,640.77,2024,9
29,C0431,2024-02-28,Wednesday,February,Grains & Staples,Dal,4,490.32,indian_cooking,1961.28,2024,9
29,C0431,2024-02-28,Wednesday,February,Fruit & Vegetables,Potato,2,233.83,indian_cooking,467.66,2024,9
29,C0431,2024-02-28,Wednesday,February,Cooking Essentials,Spices,2,197.96,indian_cooking,395.92,2024,9
29,C0431,2024-02-28,Wednesday,February,Cooking Essentials,Sugar,5,259.04,indian_cooking,1295.2,2024,9
29,C0431,2024-02-28,Wednesday,February,Grains & Staples,Rice,2,433.37,indian_cooking,866.74,2024,9
30,C0142,2024-07-31,Wednesday,July,Fruit & Vegetables,Tomato,3,420.36,indian_cooking,1261.08,2024,31
30,C0142,2024-07-31,Wednesday,July,Cooking Essentials,Oil,5,499.46,indian_cooking,2497.2999999999997,2024,31
30,C0142,2024-07-31,Wednesday,July,Dairy,Ghee,4,433.98,indian_cooking,1735.92,2024,31
30,C0142,2024-07-31,Wednesday,July,Fruit & Vegetables,Onion,4,273.9,indian_cooking,1095.6,2024,31
30,C0142,2024-07-31,Wednesday,July,Grains & Staples,Rice,3,172.9,indian_cooking,518.7,2024,31
31,C0391,2024-10-05,Saturday,October,Personal Care,Toothpaste,2,429.45,student_budget,858.9,2024,40
31,C0391,2024-10-05,Saturday,October,Beverages,Cold Drink,4,31.39,student_budget,125.56,2024,40
31,C0391,2024-10-05,Saturday,October,Snacks,Chips,4,355.56,student_budget,1422.24,2024,40
31,C0391,2024-10-05,Saturday,October,Beverages,Waterbottle,4,199.18,student_budget,796.72,2024,40
31,C0391,2024-10-05,Saturday,October,Beverages,Tea,2,252.71,student_budget,505.42,2024,40
31,C0391,2024-10-05,Saturday,October,Bakery,Bread,1,71.86,student_budget,71.86,2024,40
32,C0495,2024-10-29,Tuesday,October,Personal Care,Shampoo,4,17.52,family_shopping,70.08,2024,44
32,C0495,2024-10-29,Tuesday,October,Cooking Essentials,Sugar,2,210.89,family_shopping,421.78,2024,44
32,C0495,2024-10-29,Tuesday,October,Dairy,Butter,2,46.67,family_shopping,93.34,2024,44
32,C0495,2024-10-29,Tuesday,October,Bakery,Bread,3,175.9,family_shopping,527.7,2024,44
32,C0495,2024-10-29,Tuesday,October,Grains & Staples,Rice,4,328.42,family_shopping,1313.68,2024,44
33,C0437,2024-06-17,Monday,June,Beverages,Cold Drink,2,375.92,snack_lover,751.84,2024,25
33,C0437,2024-06-17,Monday,June,Grains & Staples,Semolina,4,489.39,snack_lover,1957.56,2024,25
33,C0437,2024-06-17,Monday,June,Snacks,Chips,1,227.4,snack_lover,227.4,2024,25
33,C0437,2024-06-17,Monday,June,Snacks,Namkeen,3,452.68,snack_lover,1358.04,2024,25
33,C0437,2024-06-17,Monday,June,Snacks,Chocolate,1,168.94,snack_lover,168.94,2024,25
33,C0437,2024-06-17,Monday,June,Snacks,Popcorn,1,153.75,snack_lover,153.75,2024,25
33,C0437,2024-06-17,Monday,June,Bakery,Rusk,3,221.04,snack_lover,663.12,2024,25
33,C0437,2024-06-17,Monday,June,Fruit & Vegetables,Apple,2,270.27,snack_lover,540.54,2024,25
34,C0290,2024-12-15,Sunday,December,Fruit & Vegetables,Banana,4,313.66,health_concious,1254.64,2024,50
34,C0290,2024-12-15,Sunday,December,Personal Care,Facewash,2,253.86,health_concious,507.72,2024,50
34,C0290,2024-12-15,Sunday,December,Grains & Staples,Oats,5,80.13,health_concious,400.65,2024,50
34,C0290,2024-12-15,Sunday,December,Dairy,Curd,4,322.57,health_concious,1290.28,2024,50
35,C0236,2024-05-10,Friday,May,Beverages,Cold Drink,3,323.08,breakfast_shopping,969.24,2024,19
35,C0236,2024-05-10,Friday,May,Personal Care,Facewash,4,348.25,breakfast_shopping,1393.0,2024,19
35,C0236,2024-05-10,Friday,May,Dairy,Milk,4,424.2,breakfast_shopping,1696.8,2024,19
35,C0236,2024-05-10,Friday,May,Snacks,Chocolate,2,499.69,breakfast_shopping,999.38,2024,19
35,C0236,2024-05-10,Friday,May,Dairy,Butter,4,62.26,breakfast_shopping,249.04,2024,19
35,C0236,2024-05-10,Friday,May,Beverages,Tea,4,290.24,breakfast_shopping,1160.96,2024,19
35,C0236,2024-05-10,Friday,May,Unknown,Biscuits,5,154.98,breakfast_shopping,774.9,2024,19
35,C0236,2024-05-10,Friday,May,Bakery,Bread,3,20.75,breakfast_shopping,62.25,2024,19
36,C0425,2024-12-03,Tuesday,December,Fruit & Vegetables,Tomato,2,307.46,student_budget,614.92,2024,49
36,C0425,2024-12-03,Tuesday,December,Beverages,Cold Drink,3,117.31,student_budget,351.93,2024,49
36,C0425,2024-12-03,Tuesday,December,Snacks,Chips,2,314.24,student_budget,628.48,2024,49
36,C0425,2024-12-03,Tuesday,December,Cooking Essentials,Sugar,2,317.84,student_budget,635.68,2024,49
36,C0425,2024-12-03,Tuesday,December,Beverages,Tea,1,161.38,student_budget,161.38,2024,49
36,C0425,2024-12-03,Tuesday,December,Bakery,Bread,4,26.35,student_budget,105.4,2024,49
37,C0187,2024-03-08,Friday,March,Personal Care,Shampoo,2,108.39,family_shopping,216.78,2024,10
37,C0187,2024-03-08,Friday,March,Beverages,Waterbottle,5,439.47,family_shopping,2197.3500000000004,2024,10
37,C0187,2024-03-08,Friday,March,Dairy,Milk,3,270.12,family_shopping,810.36,2024,10
38,C0468,2024-05-19,Sunday,May,Fruit & Vegetables,Potato,1,239.48,daily_essentials,239.48,2024,20
38,C0468,2024-05-19,Sunday,May,Beverages,Tea,1,78.97,daily_essentials,78.97,2024,20
38,C0468,2024-05-19,Sunday,May,Fruit & Vegetables,Apple,2,431.47,daily_essentials,862.94,2024,20
38,C0468,2024-05-19,Sunday,May,Fruit & Vegetables,Onion,4,483.96,daily_essentials,1935.84,2024,20
39,C0412,2024-10-12,Saturday,October,Fruit & Vegetables,Banana,1,232.85,student_budget,232.85,2024,41
39,C0412,2024-10-12,Saturday,October,Cooking Essentials,Tomatosauce,3,296.43,student_budget,889.29,2024,41
39,C0412,2024-10-12,Saturday,October,Beverages,Cold Drink,3,63.09,student_budget,189.27,2024,41
39,C0412,2024-10-12,Saturday,October,Snacks,Chips,2,241.02,student_budget,482.04,2024,41
39,C0412,2024-10-12,Saturday,October,Bakery,Bread,5,443.28,student_budget,2216.3999999999996,2024,41
40,C0288,2024-06-16,Sunday,June,Dairy,Milk,2,32.22,breakfast_shopping,64.44,2024,24
40,C0288,2024-06-16,Sunday,June,Snacks,Namkeen,1,159.14,breakfast_shopping,159.14,2024,24
40,C0288,2024-06-16,Sunday,June,Dairy,Curd,4,66.9,breakfast_shopping,267.6,2024,24
40,C0288,2024-06-16,Sunday,June,Fruit & Vegetables,Carrot,2,444.76,breakfast_shopping,889.52,2024,24
40,C0288,2024-06-16,Sunday,June,Dairy,Butter,2,200.44,breakfast_shopping,400.88,2024,24
40,C0288,2024-06-16,Sunday,June,Unknown,Biscuits,3,338.54,breakfast_shopping,1015.6200000000001,2024,24
40,C0288,2024-06-16,Sunday,June,Bakery,Bread,5,215.37,breakfast_shopping,1076.85,2024,24
41,C0381,2024-03-20,Wednesday,March,Cooking Essentials,Salt,1,348.24,daily_essentials,348.24,2024,12
41,C0381,2024-03-20,Wednesday,March,Fruit & Vegetables,Potato,2,227.26,daily_essentials,454.52,2024,12
41,C0381,2024-03-20,Wednesday,March,Dairy,Milk,2,429.17,daily_essentials,858.34,2024,12
41,C0381,2024-03-20,Wednesday,March,Snacks,Namkeen,1,490.65,daily_essentials,490.65,2024,12
41,C0381,2024-03-20,Wednesday,March,Fruit & Vegetables,Onion,3,276.79,daily_essentials,830.3700000000001,2024,12
41,C0381,2024-03-20,Wednesday,March,Fruit & Vegetables,Apple,3,39.67,daily_essentials,119.01,2024,12
42,C0142,2024-04-07,Sunday,April,Cooking Essentials,Spices,2,324.44,indian_cooking,648.88,2024,14
42,C0142,2024-04-07,Sunday,April,Dairy,Ghee,5,485.84,indian_cooking,2429.2,2024,14
42,C0142,2024-04-07,Sunday,April,Grains & Staples,Oats,1,395.53,indian_cooking,395.53,2024,14
43,C0125,2024-03-05,Tuesday,March,Personal Care,Shampoo,3,389.44,family_shopping,1168.32,2024,10
43,C0125,2024-03-05,Tuesday,March,Cooking Essentials,Oil,5,11.39,family_shopping,56.95,2024,10
43,C0125,2024-03-05,Tuesday,March,Grains & Staples,Dal,2,493.89,family_shopping,987.78,2024,10
43,C0125,2024-03-05,Tuesday,March,Bakery,Cookies,5,132.82,family_shopping,664.0999999999999,2024,10
43,C0125,2024-03-05,Tuesday,March,Personal Care,Facewash,2,63.86,family_shopping,127.72,2024,10
43,C0125,2024-03-05,Tuesday,March,Bakery,Rusk,1,74.58,family_shopping,74.58,2024,10
43,C0125,2024-03-05,Tuesday,March,Grains & Staples,Rice,3,397.09,family_shopping,1191.27,2024,10
44,C0122,2024-10-28,Monday,October,Grains & Staples,Oats,4,267.78,family_shopping,1071.12,2024,44
44,C0122,2024-10-28,Monday,October,Grains & Staples,Dal,1,243.36,family_shopping,243.36,2024,44
44,C0122,2024-10-28,Monday,October,Dairy,Milk,3,261.49,family_shopping,784.47,2024,44
44,C0122,2024-10-28,Monday,October,Dairy,Ghee,1,231.48,family_shopping,231.48,2024,44
44,C0122,2024-10-28,Monday,October,Grains & Staples,Rice,2,473.25,family_shopping,946.5,2024,44
45,C0023,2024-12-03,Tuesday,December,Cooking Essentials,Salt,1,250.23,daily_essentials,250.23,2024,49
45,C0023,2024-12-03,Tuesday,December,Cooking Essentials,Oil,4,46.01,daily_essentials,184.04,2024,49
45,C0023,2024-12-03,Tuesday,December,Fruit & Vegetables,Potato,1,167.83,daily_essentials,167.83,2024,49
45,C0023,2024-12-03,Tuesday,December,Snacks,Chips,2,42.18,daily_essentials,84.36,2024,49
